,CustomerId,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Label,Score
0,15731755,680,France,Male,49,10,0.0,2,1,0,187008.45,0,0,0.7361
1,15632576,520,France,Male,31,4,93249.4,1,1,0,77335.75,0,0,0.7857
2,15651955,603,France,Male,31,4,0.0,2,0,1,9607.1,0,0,0.9805
3,15697310,559,Germany,Female,28,3,152264.81,1,0,0,64242.31,0,0,0.5922
4,15792360,668,France,Male,32,7,0.0,2,1,1,777.37,0,0,0.9809
5,15726774,563,France,Male,35,3,106250.72,1,0,0,39546.32,0,0,0.7256
6,15590676,735,France,Male,34,1,141796.43,1,1,0,45858.49,0,0,0.7429
7,15635244,716,France,Female,29,6,0.0,2,1,1,98998.61,0,0,0.9405
8,15726695,601,Spain,Female,20,9,122446.61,2,1,0,86791.9,0,0,0.8684
9,15612350,691,France,Female,31,5,40915.55,1,1,0,126213.84,1,1,0.5207
10,15804709,688,Germany,Male,35,5,111578.18,1,0,0,166165.93,1,1,0.5216
11,15724296,684,Spain,Male,41,2,119782.72,2,0,0,120284.67,0,0,0.8927
12,15787710,427,Spain,Female,39,9,0.0,2,1,0,28368.37,0,0,0.8931
13,15804864,670,France,Female,27,5,79336.61,1,1,1,26170.08,0,0,0.7875
14,15797010,649,France,Female,31,2,0.0,2,1,0,15200.61,0,0,0.911
15,15751203,702,France,Male,26,5,56738.47,2,1,1,100442.22,1,0,0.9686
16,15801924,754,Spain,Female,27,8,0.0,2,0,0,121821.16,0,0,0.9212
17,15699830,721,France,Female,40,7,0.0,2,1,1,122580.48,0,0,0.9108
18,15764153,704,France,Female,33,0,130499.09,2,1,1,74804.36,0,0,0.893
19,15698349,686,Spain,Female,35,4,0.0,2,1,1,159676.55,0,0,0.9368
20,15729279,718,France,Female,25,4,108691.95,1,1,0,63030.97,0,0,0.6557
21,15721730,601,Spain,Female,44,4,0.0,2,1,0,58561.31,0,0,0.7145
